step;avg_r;avg_l;avg_q;avg_ep_r;max_ep_r;min_ep_r
3200000;1,1618;0,337355;14,303427;78,9266;580,0000;0,0000
3225000;1,1666;0,362406;14,263772;83,0057;500,0000;0,0000
3250000;1,0546;0,318383;14,164311;77,1554;475,0000;0,0000
3275000;1,2020;0,316706;14,271879;73,1863;485,0000;0,0000
3300000;1,1448;0,311682;14,325489;75,8753;475,0000;0,0000
3325000;1,1590;0,358605;14,325580;76,3757;600,0000;0,0000
3350000;1,2212;0,335271;14,248793;82,3378;460,0000;0,0000
3375000;1,1476;0,314703;14,183220;77,1237;665,0000;0,0000
3400000;1,1374;0,309690;14,295582;82,6599;635,0000;0,0000
3425000;1,1242;0,294372;14,284016;86,7438;520,0000;0,0000
3450000;1,1244;0,305439;14,211607;76,2092;485,0000;0,0000
3475000;1,2138;0,305188;14,167167;81,1364;490,0000;0,0000
3500000;1,2690;0,302541;14,371425;81,5553;605,0000;0,0000
3525000;1,3608;0,304277;14,474995;86,7857;635,0000;0,0000
3550000;1,1438;0,313218;14,440898;76,6622;460,0000;0,0000
